num,name,min,max
95,"toys, games and sports equipment; parts and accessories thereof",1027752441,1142273049
63,made-up textile articles nesoi; needlecraft sets; worn clothing and worn textile articles; rags,408505917,466345366
98,"special classification provisions, nesoi",55260102,100412342
39,plastics and articles thereof,1151747395,1196150294
96,miscellaneous manufactured articles,152910620,168984693
67,prepared feathers and down and articles thereof; artificial flowers; articles of human hair,78155447,91823638
49,"printed books, newspapers, pictures and other printed products; manuscripts, typescripts and plans",115609518,128018464
64,"footwear, gaiters and the like; parts of such articles",500733671,509589935
89,"ships, boats and floating structures",4997718,8762253
30,pharmaceutical products,33962191,37710000
34,"soap etc.; lubricating products; waxes, polishing or scouring products; candles etc., modeling pastes; dental waxes and dental plaster preparations",34068780,36247564
92,musical instruments; parts and accessories thereof,19508769,21304305
36,explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,59300204,60436647
6,"live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",5472703,6420121
35,albuminoidal substances; modified starches; glues; enzymes,14393140,15258841
19,"preparations of cereals, flour, starch or milk; bakers' wares",14361049,14998815
13,lac; gums; resins and other vegetable saps and extracts,4731954,5324343
81,base metals nesoi; cermets; articles thereof,8614673,9096329
78,lead and articles thereof,143568,490426
66,"umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof",31505524,31748212
2,meat and edible meat offal,314995,500935
9,"coffee, tea, mate and spices",13054050,13228453
41,raw hides and skins (other than furskins) and leather,332026,384387
99,"special import reporting provisions, nesoi",976,0
18,cocoa and cocoa preparations,927327,898333
24,tobacco and manufactured tobacco substitutes,441979,379624
47,pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper and paperboard,506054,432031
14,"vegetable plaiting materials and vegetable products, nesoi",2419728,2336406
37,photographic or cinematographic goods,838848,749831
79,zinc and articles thereof,4377049,4264641
80,tin and articles thereof,1639482,1469009
93,arms and ammunition; parts and accessories thereof,4823880,4638393
45,cork and articles of cork,1655895,1467496
21,miscellaneous edible preparations,18418210,18211646
10,cereals,527497,317985
26,"ores, slag and ash",6606956,6262812
15,animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,1792117,1427313
53,vegetable textile fibers nesoi; yarns and woven fabrics of vegetable textile fibers nesoi and paper,1396814,983608
75,nickel and articles thereof,1261608,782502
50,"silk, including yarns and woven fabrics thereof",832635,317785
97,"works of art, collectors' pieces and antiques",4244478,3701279
51,"wool and fine or coarse animal hair, including yarns and woven fabrics thereof; horsehair yarn and woven fabric",1015678,349174
22,"beverages, spirits and vinegar",4532384,3701913
1,live animals,1452406,613271
88,"aircraft, spacecraft, and parts thereof",6546811,5518174
4,"dairy produce; birds' eggs; natural honey; edible products of animal origin, nesoi",2521015,1470310
17,sugars and sugar confectionery,10132571,9079581
43,furskins and artificial fur; manufactures thereof,2837076,1648480
83,miscellaneous articles of base metal,258670378,257258613
38,miscellaneous chemical products,49121183,47010894
7,edible vegetables and certain roots and tubers,28808766,26559266
11,milling industry products; malt; starches; inulin; wheat gluten,4796435,2515856
58,special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,15475863,13120833
8,edible fruit and nuts; peel of citrus fruit or melons,6383640,4022825
72,iron and steel,37450042,35060838
12,"oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruits; industrial or medicinal plants; straw and fodder",7013422,4428079
52,"cotton, including yarns and woven fabrics thereof",8633706,5494997
74,copper and articles thereof,17800580,14554350
69,ceramic products,232902167,229081147
91,clocks and watches and parts thereof,39888899,35698869
23,residues and waste from the food industries; prepared animal feed,13616970,9174551
60,knitted or crocheted fabrics,25289910,20756764
5,"products of animal origin, nesoi",12526996,7992875
31,fertilizers,7508255,2540043
16,"edible preparations of meat, fish, crustaceans, molluscs or other aquatic invertebrates",18989811,13153139
46,"manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",26684582,20462484
65,headgear and parts thereof,63529126,57291657
55,"manmade staple fibers, including yarns and woven fabrics thereof",31273130,24682097
32,"tanning or dyeing extracts; tannins and derivatives; dyes, pigments and other coloring matter; paints and varnishes; putty and other mastics; inks",22918021,16184778
56,"wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",46145677,38422626
71,"natural or cultured pearls, precious or semiprecious stones, precious metals; precious metal clad metals, articles thereof; imitation jewelry; coin",66641507,58654324
57,carpets and other textile floor coverings,38386807,30312966
59,"impregnated, coated, covered or laminated textile fabrics; textile articles suitable for industrial use",29817628,21370765
82,"tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",146101429,136876470
3,"fish and crustaceans, molluscs and other aquatic invertebrates",60500325,51266771
28,"inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",84680573,73848429
54,"manmade filaments, including yarns and woven fabrics thereof",33122026,22272745
33,"essential oils and resinoids; perfumery, cosmetic or toilet preparations",64566193,52763988
76,aluminum and articles thereof,144288543,130797225
27,"mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",24410346,6904140
90,"optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",313820696,294462722
25,"salt; sulfur; earths and stone; plastering materials, lime and cement",68812219,47474651
86,"railway or tramway locomotives, rolling stock, track fixtures and fittings, and parts thereof; mechanical etc. traffic signal equipment of all kinds",75986349,53803876
70,glass and glassware,292964213,265525059
48,"paper and paperboard; articles of paper pulp, paper or paperboard",275974758,240836807
20,"preparations of vegetables, fruit, nuts, or other parts of plants",88379311,51740398
61,"articles of apparel and clothing accessories, knitted or crocheted",515881119,478995503
62,"articles of apparel and clothing accessories, not knitted or crocheted",452972780,404772911
44,wood and articles of wood; wood charcoal,272253783,215508795
29,organic chemicals,264647502,206797798
42,"articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles  of gut (other than silkworm gut)",330601536,254569280
68,"articles of stone, plaster, cement, asbestos, mica or similar materials",175047723,97226111
40,rubber and articles thereof,247942354,168998822
73,articles of iron or steel,810750608,731514860
84,"nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2561393002,2234942475
94,"furniture; bedding, cushions etc.; lamps and lighting fittings nesoi; illuminated signs, nameplates and the like; prefabricated buildings",2604550836,2243159015
87,"vehicles, other than railway or tramway rolling stock, and parts and accessories thereof",1195942180,776996101
85,"electrical machinery and equipment and parts thereof; sound recorders and reproducers, television recorders and reproducers, parts and accessories",3191086792,2758929372